杨成林	哈尔滨医科大学附属第一医院	整形美容外科
李宝馨	哈尔滨医科大学	药物学系
韩帅	南方医科大学珠江医院	普通外科
蔡寨	南方医科大学珠江医院	普通外科
彭亮	南方医科大学珠江医院	普通外科
厉周	南方医科大学珠江医院	普通外科
周华彬	南方医科大学珠江医院	普通外科
李秀勤	南方医科大学珠江医院	普通外科
方素珍	南方医科大学珠江医院	普通外科
黄宗海	南方医科大学珠江医院	普通外科
崔大祥	上海交大	微/纳米科学技术学院
郭伟	第三军医大学大坪医院	外科研究协会
龚太乾	第三军医大学大坪医院	外科研究协会
牛会军	第三军医大学大坪医院	外科研究协会
王如文	第三军医大学大坪医院	外科研究协会
蒋耀光	第三军医大学大坪医院	外科研究协会
马铮	第三军医大学大坪医院	外科研究协会
王立	解放军总医院	南楼呼吸科
陈振鸿	解放军总医院	南楼呼吸科
王雅娟	解放军总医院	南楼呼吸科
常德	解放军总医院	南楼呼吸科
苏龙翔	解放军总医院	南楼呼吸科
郭英华	解放军总医院	南楼呼吸科
刘长庭	解放军总医院	南楼呼吸科
沈雷	上海交大医学院附属新华医院	整形外科
陈晓东	上海交大医学院附属新华医院	整形外科
张耀辉	上海交大医学院附属新华医院	整形外科
贺更生	中南大学湘雅三医院/南华大学附属第一医院	移植医学中心/普腹外科
陈国栋	南华大学附属第一医院	普腹外科
张炜	南华大学附属第一医院	普腹外科
曹金敏	南华大学附属第一医院	普腹外科
陈文琦	南华大学附属第一医院	肿瘤内科
叶启发	中南大学湘雅三医院	移植医学中心
刘池波	台州市立医院	临床实验室
Yin Lihua	美国威斯康辛州血液中心	--
陈佳琪	温州医科大学	实验室医学
陈佳玉	台州医学院	免疫学
吕顺增	加拿大多伦多大学	外科学系
Ekaterina Turlova	加拿大多伦多大学	外科学系
孙宏硕	加拿大多伦多大学	外科学系
赵世刚	上海交大	医学院
韩明志	山东大学	医学院
亢慧慧	山东大学	医学院
吕顺增	北京协和医院	普外科
韩明志	山东大学齐鲁医院	神经外科
付瀚辉	山东大学齐鲁医院	神经外科
Huang Bin	山东大学齐鲁医院	神经外科
Li Xingang	山东大学齐鲁医院	神经外科
Yi Ruiyang	美国芝加哥大学	生物科学部
边瑞祥	山东大学附属省立医院	关节外科
张娅	山东大学附属省立医院	血液科
张子杰	南阳市中心医院	病理科
闫振宇	南阳市中心医院	病理科
袁征	南阳市中心医院	病理科
孙彦珍	南阳市中心医院	病理科
贺海发	南阳市中心医院	病理科
买春阳	南阳市中心医院	病理科
黄金明	解放军第八五医院	泌尿外科
童强	解放军第八五医院	泌尿外科
刘军	解放军第八五医院	泌尿外科
邱军	解放军第八五医院	泌尿外科
孙嵘	解放军第八五医院	泌尿外科
姚立欣	解放军第八五医院	泌尿外科
杨春	南京医科大学第二附属医院	泌尿外科
贾姣源	吉林大学第二医院	肿瘤血液科
林征宇	福建医科大学附属第一医院	介入科
宋倩倩	福建医科大学附属第一医院	介入科
陈锦	福建医科大学附属第一医院	介入科
万仁均	福建医科大学附属第一医院	介入科
郑慧	福建医科大学附属第一医院	介入科
陈仲武	福建医科大学附属第一医院	介入科
陈一平	福建医科大学附属第一医院	介入科
花旺春	福建省沙县医院	放射科
李成刚	解放军总医院	肿瘤外科
赵之明	解放军总医院	肿瘤外科
周志鹏	解放军总医院	肿瘤外科
刘荣	解放军总医院	肿瘤外科
廖安燕	北京大学第三医院	肿瘤放疗科
姜玉良	北京大学第三医院	肿瘤放疗科
田素青	北京大学第三医院	肿瘤放疗科
李金娜	北京大学第三医院	肿瘤放疗科
王维杰	山东大学齐鲁医院	急诊外科
孙大伟	吉林大学第一医院	肝胆胰外科
杨香山	山东省医学科学院附属医院	病理科
石然然	山东大学附属省立医院	普通外科
刘梦颖	第三军医大学	神经生物学重庆市市级重点实验室
张开元	第三军医大学	神经生物学重庆市市级重点实验室
赵焱钢	第三军医大学	神经生物学重庆市市级重点实验室
郭强	第三军医大学	神经生物学重庆市市级重点实验室
张吉强	第三军医大学	神经生物学重庆市市级重点实验室
郭德玉	第三军医大学西南医院	病理科
徐云泽	上海交大医学院附属仁济医院	泌尿外科
卢永宁	上海交大医学院附属仁济医院	泌尿外科
宋佳佳	上海交大医学院附属仁济医院	泌尿外科
董柏君	上海交大医学院附属仁济医院	泌尿外科
孔文	上海交大医学院附属仁济医院	泌尿外科
薛蔚	上海交大医学院附属仁济医院	泌尿外科
张进	上海交大医学院附属仁济医院	泌尿外科
黄翼然	上海交大医学院附属仁济医院	泌尿外科
郭泽雄	暨南大学附属第一医院（广州华侨医院）	泌尿外科
刘德豪	暨南大学附属第一医院（广州华侨医院）	泌尿外科
苏泽轩	暨南大学附属第一医院（广州华侨医院）	泌尿外科
李双玲	山东省千佛山医院／山东大学医学院	消化内科
雷晓斐	山东省千佛山医院	消化内科
张建娜	山东省千佛山医院	消化内科
杨宏丽	山东省千佛山医院	消化内科
徐昌青	山东省千佛山医院	消化内科
刘吉勇	山东大学附属省立医院	消化内科
